"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"1207",3193,5.599632,1,0,0,89.78927,0,0,0,0,0
"1208",3194,5.218182,0,0,0,36.57802,0,0,0,0,0
"1209",3197,7.827273,0,0,0,49.77421,0,0,1,0,0
"1210",3199,5.224514,0,0,0,25.28851,0,0,1,0,0
"1211",3201,8.524753,0,0,0,84.49574,0,0,1,0,0
"1212",3203,5.177845,1,0,0,34.87205,0,0,0,0,0
"1215",3206,3.788779,0,0,0,55.61967,0,0,1,0,0
"1216",3209,5.433539,1,0,0,83.16608,0,0,1,0,0
"1217",3210,7.732281,0,0,0,67.38585,0,0,0,0,0
"1218",3213,3.978218,0,0,0,59.98495,0,0,0,0,0
"1220",3219,5.929752,0,0,0,58.73055,0,1,0,0,1
"1221",3220,6.269418,0,0,0,82.46362,0,1,0,0,0
"1223",3223,6.251485,0,0,0,96.38736,0,1,1,0,1
"1224",3225,4.597573,0,0,0,85.97591,0,1,1,0,1
"1225",3228,5.433539,1,0,0,68.53989,0,1,0,0,1
"1228",3239,7.827273,0,1,0,50.97842,0,0,0,0,1
"1229",3240,6.404132,0,0,0,91.19418,0,0,0,0,1
"1230",3242,3.320661,0,0,0,70.47165,0,1,1,0,0
"1231",3244,7.009241,0,0,0,67.81234,1,0,1,0,1
"1232",3245,5.177845,1,0,0,47.51631,0,0,1,0,0
"1233",3247,3.76165,0,0,0,64.27496,0,0,0,0,0
"1234",3248,5.177845,1,0,0,73.63272,0,0,1,0,0
"1235",3249,5.455372,0,0,0,50.90316,0,1,1,0,1
"1236",3250,5.811157,0,0,0,96.58806,0,0,1,0,1
"1237",3251,7.19868,0,0,0,86.52785,1,0,0,0,0
"1238",3252,1.713641,0,0,0,41.41997,0,0,1,0,0
"1241",3255,5.929752,0,0,0,96.96438,0,1,0,0,1
"1243",3267,3.788779,0,0,1,83.76819,0,0,0,0,0
"1244",3273,0.6219262,0,0,1,6.322127,0,0,1,0,0
"1245",3279,1.423141,0,0,0,55.72002,0,0,0,0,0
"1246",3280,2.273267,0,0,0,58.37933,0,0,1,0,0
"1247",3281,7.590083,0,0,1,63.12093,0,1,0,0,1
