iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
190007,5,18,18,4,3,99,1,145,41,0,-2,7,2,1,,14,0,0,0,0
190009,5,-1,16,3,3,39,0,109,38,1,2,5,2,1,,10,1,0,0,0
190010,5,12,12,4,3,44,0,124,96,0,-2,0,0,1,,0,0,0,0,0
190014,5,16,12,4,3,7,0,97,39,0,-2,0,0,1,,0,0,0,0,0
190017,5,16,12,4,3,81,0,121,39,0,-2,10,1,1,,10,0,0,0,0
190019,5,16,12,3,3,3,0,67,1,1,2,30,2,1,,60,0,0,0,0
190022,5,10,7,3,3,26,0,107,1,1,2,15,2,1,,30,0,0,0,0
190023,5,16,16,4,3,98,1,129,7,1,4,0,0,1,,0,0,0,0,0
190027,5,16,12,4,3,17,0,107,1,0,-2,0,0,1,,0,0,0,0,0
190031,5,14,12,3,3,96,0,120,39,1,4,0,0,1,,0,0,0,0,0
190035,5,16,16,3,3,50,0,113,40,0,-2,21,3,1,,63,0,0,0,0
190037,5,7,10,3,3,13,0,101,96,0,-2,40,2,1,,80,0,0,0,0
190039,5,16,10,4,3,3,0,102,39,0,-2,15,1,1,,15,0,0,0,0
190040,5,14,18,2,3,83,0,115,43,1,4,0,0,1,,0,0,0,0,0
190053,5,18,16,4,3,72,0,118,41,0,-2,8,1,1,,8,0,0,0,0
190054,5,16,16,3,3,45,0,109,38,1,4,30,2,1,,60,0,0,0,0
190058,5,13,10,3,3,18,0,89,39,0,-2,27,1,1,,27,0,0,0,0
190059,5,18,14,5,3,69,0,133,43,0,-2,0,0,1,,0,0,0,0,0
190064,5,18,16,3,3,82,0,120,7,1,4,0,0,1,,0,0,0,0,0
192005,6,7,7,3,3,64,0,107,39,0,-2,0,0,1,,0,0,0,0,0
192007,6,7,7,3,3,37,0,102,1,1,2,0,0,1,,0,0,0,0,0
192008,6,13,14,2,3,60,0,102,39,0,-2,3,1,1,,3,0,0,0,0
192009,6,10,10,3,3,33,0,113,1,1,2,35,1,1,,35,0,0,0,0
192010,6,12,12,3,3,72,1,99,1,1,4,12,0,1,,0,0,0,0,0
192012,6,13,13,5,3,41,0,103,39,0,-2,0,0,1,,0,0,0,0,0
192017,6,7,13,3,3,78,0,133,1,0,-2,30,1,1,,30,0,0,0,0
192018,6,7,10,3,3,92,1,117,1,0,-2,0,0,1,,0,0,0,0,0
